epoca,loss,accuracy,recall,precision,lr 
167,0.2050500065088272,0.86278,0.88881,0.84301,0.0001000000
168,0.2047400027513504,0.86315,0.88913,0.84335,0.0001000000
169,0.20208999514579773,0.86352,0.88945,0.84371,0.0001000000
170,0.20196999609470367,0.86389,0.88971,0.84409,0.0001000000
171,0.2026599943637848,0.86426,0.88995,0.84448,0.0001000000
172,0.2033199965953827,0.86462,0.89022,0.84485,0.0001000000
173,0.20194000005722046,0.86497,0.8905,0.8452,0.0001000000
174,0.20434999465942383,0.86532,0.89077,0.84556,0.0001000000
175,0.20160000026226044,0.86567,0.89103,0.84589,0.0001000000
176,0.20170000195503235,0.86602,0.8913,0.84623,0.0001000000
177,0.20446999371051788,0.86636,0.89155,0.84657,0.0001000000
178,0.20125000178813934,0.86668,0.8918,0.8469,0.0001000000
179,0.20625999569892883,0.86701,0.89207,0.8472,0.0001000000
180,0.20451000332832336,0.86732,0.89235,0.8475,0.0001000000
181,0.20101000368595123,0.86765,0.89263,0.8478,0.0001000000
182,0.20440000295639038,0.86797,0.89294,0.84808,0.0001000000
183,0.200080007314682,0.86828,0.89325,0.84836,0.0001000000
184,0.20062999427318573,0.8686,0.89354,0.84864,0.0001000000
185,0.19995999336242676,0.86891,0.89383,0.84892,0.0001000000
186,0.1992100030183792,0.86923,0.89408,0.84922,0.0001000000
187,0.20146000385284424,0.86955,0.89431,0.84954,0.0001000000
188,0.1998399943113327,0.86985,0.89457,0.84982,0.0001000000
189,0.1998099982738495,0.87015,0.89481,0.8501,0.0001000000
190,0.1957699954509735,0.87046,0.89504,0.85042,0.0001000000
191,0.1990399956703186,0.87077,0.89521,0.85075,0.0001000000
192,0.19621999561786652,0.87106,0.89542,0.85105,0.0001000000
193,0.19795000553131104,0.87136,0.89568,0.85132,0.0001000000
194,0.2012999951839447,0.87165,0.8959,0.85161,0.0001000000
195,0.19726000726222992,0.87194,0.89609,0.85192,0.0000500000
196,0.1964700073003769,0.87223,0.89627,0.85223,0.0000500000
197,0.1978600025177002,0.87251,0.89647,0.85252,0.0000500000
198,0.19543999433517456,0.8728,0.89669,0.8528,0.0000500000
199,0.19559000432491302,0.87308,0.89691,0.85308,0.0000500000
200,0.19307999312877655,0.87337,0.89714,0.85336,0.0000500000
201,0.19461999833583832,0.87366,0.89735,0.85365,0.0000500000
202,0.19245000183582306,0.87394,0.89756,0.85393,0.0000500000
203,0.19461999833583832,0.87422,0.89777,0.85421,0.0000500000
204,0.1962299942970276,0.87449,0.89795,0.8545,0.0000500000
205,0.19121000170707703,0.87477,0.89813,0.85479,0.0000500000
206,0.19367000460624695,0.87504,0.89832,0.85508,0.0000500000
207,0.19259999692440033,0.87532,0.89852,0.85536,0.0000500000
208,0.19339999556541443,0.87558,0.89872,0.85563,0.0000500000
209,0.19311000406742096,0.87585,0.89893,0.85588,0.0000500000
210,0.1941000074148178,0.87611,0.89913,0.85614,0.0000250000
211,0.19458000361919403,0.87636,0.89931,0.85639,0.0000250000
212,0.19366000592708588,0.87661,0.8995,0.85664,0.0000250000
213,0.19538000226020813,0.87686,0.89968,0.8569,0.0000250000
